  
       XFOIL         Version 6.96
  
 Calculated polar for: E168  (12.45%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
 -10.500  -1.1194   0.01572   0.00994  -0.0087   1.0000   0.0105
 -10.250  -1.0981   0.01522   0.00942  -0.0078   1.0000   0.0114
 -10.000  -1.0759   0.01478   0.00896  -0.0070   1.0000   0.0124
  -9.750  -1.0532   0.01439   0.00853  -0.0062   1.0000   0.0131
  -9.500  -1.0304   0.01400   0.00811  -0.0054   1.0000   0.0139
  -9.250  -1.0079   0.01356   0.00766  -0.0046   1.0000   0.0152
  -9.000  -0.9850   0.01318   0.00726  -0.0038   1.0000   0.0165
  -8.750  -0.9617   0.01284   0.00690  -0.0030   1.0000   0.0177
  -8.500  -0.9390   0.01244   0.00651  -0.0021   1.0000   0.0203
  -8.250  -0.9159   0.01209   0.00616  -0.0013   1.0000   0.0229
  -8.000  -0.8933   0.01169   0.00578  -0.0004   1.0000   0.0278
  -7.750  -0.8707   0.01130   0.00543   0.0005   1.0000   0.0344
  -7.500  -0.8477   0.01093   0.00509   0.0014   1.0000   0.0415
  -7.250  -0.8194   0.01058   0.00477   0.0012   0.9981   0.0495
  -7.000  -0.7863   0.01022   0.00446  -0.0001   0.9925   0.0588
  -6.750  -0.7535   0.00983   0.00413  -0.0014   0.9840   0.0718
  -6.500  -0.7187   0.00943   0.00381  -0.0030   0.9639   0.0872
  -6.250  -0.6756   0.00909   0.00346  -0.0064   0.9112   0.1051
  -6.000  -0.6515   0.00896   0.00321  -0.0055   0.8570   0.1197
  -5.750  -0.6274   0.00881   0.00299  -0.0046   0.8178   0.1361
  -5.500  -0.6029   0.00857   0.00276  -0.0040   0.7867   0.1600
  -5.250  -0.5776   0.00839   0.00257  -0.0035   0.7590   0.1796
  -5.000  -0.5513   0.00827   0.00240  -0.0031   0.7342   0.1931
  -4.750  -0.5246   0.00817   0.00226  -0.0028   0.7118   0.2037
  -4.500  -0.4979   0.00806   0.00212  -0.0025   0.6902   0.2166
  -4.250  -0.4710   0.00796   0.00199  -0.0023   0.6698   0.2294
  -4.000  -0.4440   0.00786   0.00187  -0.0020   0.6508   0.2426
  -3.750  -0.4167   0.00778   0.00176  -0.0018   0.6324   0.2544
  -3.500  -0.3893   0.00771   0.00166  -0.0017   0.6148   0.2657
  -3.250  -0.3618   0.00764   0.00157  -0.0015   0.5980   0.2774
  -3.000  -0.3343   0.00757   0.00148  -0.0013   0.5822   0.2892
  -2.750  -0.3067   0.00752   0.00141  -0.0012   0.5667   0.3000
  -2.500  -0.2790   0.00747   0.00134  -0.0010   0.5519   0.3111
  -2.250  -0.2512   0.00743   0.00127  -0.0009   0.5372   0.3222
  -2.000  -0.2235   0.00738   0.00122  -0.0008   0.5233   0.3333
  -1.750  -0.1956   0.00735   0.00117  -0.0007   0.5095   0.3438
  -1.500  -0.1677   0.00732   0.00113  -0.0006   0.4961   0.3552
  -1.250  -0.1398   0.00730   0.00110  -0.0005   0.4832   0.3658
  -1.000  -0.1119   0.00728   0.00107  -0.0004   0.4704   0.3772
  -0.500  -0.0559   0.00726   0.00103  -0.0002   0.4457   0.3988
  -0.250  -0.0280   0.00725   0.00102  -0.0001   0.4337   0.4109
   0.000   0.0000   0.00725   0.00102   0.0000   0.4223   0.4223
   0.250   0.0279   0.00725   0.00102   0.0001   0.4110   0.4338
   0.500   0.0559   0.00726   0.00103   0.0002   0.3990   0.4456
   1.000   0.1119   0.00728   0.00107   0.0004   0.3772   0.4705
   1.250   0.1397   0.00730   0.00110   0.0005   0.3658   0.4831
   1.500   0.1677   0.00732   0.00113   0.0006   0.3551   0.4964
   1.750   0.1956   0.00735   0.00117   0.0007   0.3438   0.5095
   2.000   0.2234   0.00738   0.00122   0.0008   0.3334   0.5231
   2.250   0.2511   0.00743   0.00127   0.0009   0.3220   0.5372
   2.500   0.2789   0.00747   0.00134   0.0011   0.3111   0.5518
   2.750   0.3067   0.00751   0.00141   0.0012   0.3002   0.5666
   3.000   0.3343   0.00757   0.00148   0.0013   0.2891   0.5822
   3.250   0.3618   0.00764   0.00157   0.0015   0.2774   0.5980
   3.500   0.3892   0.00771   0.00166   0.0017   0.2659   0.6147
   3.750   0.4166   0.00778   0.00176   0.0018   0.2542   0.6323
   4.000   0.4439   0.00786   0.00187   0.0020   0.2424   0.6505
   4.250   0.4709   0.00796   0.00199   0.0023   0.2295   0.6700
   4.500   0.4978   0.00806   0.00212   0.0025   0.2166   0.6901
   4.750   0.5245   0.00817   0.00226   0.0028   0.2038   0.7119
   5.000   0.5512   0.00826   0.00240   0.0031   0.1932   0.7344
   5.250   0.5775   0.00838   0.00257   0.0035   0.1802   0.7591
   5.500   0.6029   0.00856   0.00276   0.0040   0.1603   0.7868
   5.750   0.6273   0.00880   0.00299   0.0047   0.1363   0.8180
   6.000   0.6514   0.00896   0.00321   0.0055   0.1198   0.8569
   6.250   0.6755   0.00909   0.00346   0.0064   0.1052   0.9110
   6.500   0.7188   0.00943   0.00381   0.0030   0.0873   0.9642
   6.750   0.7533   0.00983   0.00413   0.0014   0.0717   0.9838
   7.250   0.8193   0.01058   0.00477  -0.0011   0.0495   0.9980
   7.500   0.8479   0.01093   0.00509  -0.0014   0.0418   1.0000
   7.750   0.8707   0.01131   0.00543  -0.0005   0.0340   1.0000
   8.000   0.8934   0.01169   0.00578   0.0004   0.0277   1.0000
   8.250   0.9159   0.01209   0.00616   0.0013   0.0229   1.0000
   8.500   0.9391   0.01243   0.00650   0.0021   0.0204   1.0000
   8.750   0.9617   0.01284   0.00690   0.0030   0.0177   1.0000
   9.000   0.9850   0.01318   0.00726   0.0038   0.0165   1.0000
   9.250   1.0079   0.01356   0.00766   0.0046   0.0152   1.0000
   9.500   1.0303   0.01400   0.00811   0.0055   0.0139   1.0000
   9.750   1.0531   0.01438   0.00853   0.0062   0.0132   1.0000
  10.000   1.0758   0.01478   0.00895   0.0070   0.0124   1.0000
  10.250   1.0979   0.01522   0.00942   0.0078   0.0114   1.0000
  10.500   1.1192   0.01573   0.00995   0.0088   0.0104   1.0000
  10.750   1.1409   0.01620   0.01045   0.0096   0.0098   1.0000
  11.000   1.1624   0.01665   0.01095   0.0105   0.0092   1.0000
  11.250   1.1830   0.01715   0.01149   0.0114   0.0085   1.0000
  11.500   1.2028   0.01771   0.01208   0.0124   0.0079   1.0000
  11.750   1.2214   0.01834   0.01274   0.0136   0.0073   1.0000
  12.000   1.2402   0.01891   0.01336   0.0147   0.0069   1.0000
  12.250   1.2581   0.01951   0.01402   0.0159   0.0066   1.0000
  12.500   1.2745   0.02017   0.01473   0.0173   0.0063   1.0000
  12.750   1.2894   0.02089   0.01549   0.0188   0.0059   1.0000
  13.000   1.3016   0.02164   0.01630   0.0207   0.0056   1.0000
  13.250   1.3083   0.02246   0.01717   0.0233   0.0054   1.0000
  13.500   1.3127   0.02345   0.01823   0.0260   0.0051   1.0000
  13.750   1.3162   0.02462   0.01948   0.0281   0.0050   1.0000
  14.000   1.3204   0.02591   0.02085   0.0297   0.0049   1.0000
  14.250   1.3234   0.02751   0.02253   0.0307   0.0048   1.0000
  14.500   1.3260   0.02938   0.02450   0.0312   0.0047   1.0000
  14.750   1.3265   0.03171   0.02693   0.0311   0.0047   1.0000
  15.000   1.3267   0.03432   0.02964   0.0306   0.0045   1.0000
  15.250   1.3261   0.03722   0.03263   0.0298   0.0044   1.0000
  15.500   1.3223   0.04067   0.03620   0.0285   0.0044   1.0000
  15.750   1.3173   0.04438   0.04001   0.0270   0.0043   1.0000
  16.000   1.3084   0.04874   0.04448   0.0250   0.0043   1.0000
  16.250   1.2988   0.05325   0.04910   0.0230   0.0042   1.0000
  16.500   1.2878   0.05806   0.05401   0.0208   0.0041   1.0000
  16.750   1.2741   0.06331   0.05938   0.0183   0.0041   1.0000
  17.000   1.2540   0.06967   0.06587   0.0152   0.0042   1.0000
  17.250   1.2373   0.07574   0.07205   0.0122   0.0042   1.0000
  17.500   1.2171   0.08262   0.07906   0.0087   0.0041   1.0000
  17.750   1.1990   0.08936   0.08591   0.0052   0.0041   1.0000
  18.000   1.1783   0.09675   0.09341   0.0013   0.0041   1.0000
