  
       XFOIL         Version 6.96
  
 Calculated polar for: E168  (12.45%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -18.500  -1.1393   0.11158   0.10847   0.0065   1.0000   0.0041
 -18.250  -1.1585   0.10404   0.10081   0.0024   1.0000   0.0040
 -18.000  -1.1799   0.09636   0.09301  -0.0017   1.0000   0.0040
 -17.750  -1.1988   0.08929   0.08583  -0.0054   1.0000   0.0041
 -17.500  -1.2179   0.08239   0.07882  -0.0089   1.0000   0.0041
 -17.250  -1.2342   0.07614   0.07246  -0.0121   1.0000   0.0041
 -17.000  -1.2514   0.06997   0.06618  -0.0152   1.0000   0.0041
 -16.750  -1.2702   0.06380   0.05988  -0.0182   1.0000   0.0041
 -16.500  -1.2861   0.05823   0.05420  -0.0208   1.0000   0.0042
 -16.250  -1.2970   0.05345   0.04930  -0.0230   1.0000   0.0042
 -16.000  -1.3112   0.04829   0.04402  -0.0253   1.0000   0.0042
 -15.750  -1.3168   0.04441   0.04005  -0.0270   1.0000   0.0043
 -15.500  -1.3229   0.04055   0.03606  -0.0286   1.0000   0.0044
 -15.250  -1.3270   0.03709   0.03249  -0.0299   1.0000   0.0045
 -15.000  -1.3278   0.03418   0.02949  -0.0307   1.0000   0.0045
 -14.750  -1.3266   0.03170   0.02691  -0.0312   1.0000   0.0046
 -14.500  -1.3260   0.02937   0.02449  -0.0312   1.0000   0.0047
 -14.250  -1.3231   0.02753   0.02256  -0.0307   1.0000   0.0048
 -14.000  -1.3211   0.02586   0.02080  -0.0297   1.0000   0.0049
 -13.750  -1.3164   0.02461   0.01947  -0.0281   1.0000   0.0050
 -13.500  -1.3121   0.02349   0.01827  -0.0260   1.0000   0.0051
 -13.250  -1.3086   0.02246   0.01717  -0.0233   1.0000   0.0053
 -13.000  -1.3019   0.02164   0.01629  -0.0206   1.0000   0.0056
 -12.750  -1.2896   0.02089   0.01549  -0.0187   1.0000   0.0059
 -12.500  -1.2747   0.02019   0.01474  -0.0172   1.0000   0.0062
 -12.250  -1.2583   0.01952   0.01402  -0.0159   1.0000   0.0066
 -12.000  -1.2405   0.01891   0.01336  -0.0147   1.0000   0.0069
 -11.750  -1.2216   0.01835   0.01274  -0.0136   1.0000   0.0073
 -11.500  -1.2030   0.01772   0.01208  -0.0124   1.0000   0.0079
 -11.250  -1.1832   0.01716   0.01149  -0.0114   1.0000   0.0085
 -11.000  -1.1625   0.01665   0.01095  -0.0104   1.0000   0.0092
 -10.750  -1.1411   0.01619   0.01044  -0.0096   1.0000   0.0098
