  
       XFOIL         Version 6.96
  
 Calculated polar for: E168  (12.45%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   3.250   0.3554   0.00870   0.00215   0.0029   0.3250   0.6909
   3.500   0.3822   0.00875   0.00226   0.0032   0.3129   0.7125
   3.750   0.4087   0.00880   0.00238   0.0036   0.3012   0.7353
   4.000   0.4350   0.00887   0.00251   0.0041   0.2892   0.7599
   4.250   0.4609   0.00894   0.00266   0.0046   0.2770   0.7870
   4.500   0.4864   0.00901   0.00281   0.0052   0.2644   0.8173
   4.750   0.5118   0.00907   0.00297   0.0059   0.2511   0.8528
   5.000   0.5393   0.00915   0.00315   0.0062   0.2374   0.8970
   5.250   0.5803   0.00936   0.00340   0.0035   0.2211   0.9385
   5.500   0.6222   0.00961   0.00363   0.0005   0.2063   0.9680
   5.750   0.6568   0.00988   0.00386  -0.0010   0.1894   0.9846
   6.000   0.6909   0.01025   0.00413  -0.0025   0.1645   0.9945
   6.250   0.7234   0.01065   0.00442  -0.0038   0.1397   1.0000
   6.500   0.7461   0.01103   0.00472  -0.0029   0.1213   1.0000
   6.750   0.7690   0.01141   0.00504  -0.0020   0.1053   1.0000
   7.000   0.7917   0.01181   0.00538  -0.0011   0.0911   1.0000
   7.250   0.8142   0.01222   0.00575  -0.0002   0.0779   1.0000
   7.500   0.8366   0.01267   0.00614   0.0007   0.0660   1.0000
   7.750   0.8589   0.01312   0.00656   0.0016   0.0556   1.0000
   8.000   0.8812   0.01359   0.00700   0.0025   0.0471   1.0000
   8.250   0.9035   0.01405   0.00746   0.0034   0.0400   1.0000
   8.500   0.9257   0.01453   0.00793   0.0043   0.0337   1.0000
   8.750   0.9475   0.01506   0.00844   0.0052   0.0285   1.0000
   9.000   0.9692   0.01558   0.00897   0.0061   0.0246   1.0000
   9.250   0.9908   0.01611   0.00952   0.0070   0.0221   1.0000
   9.500   1.0124   0.01662   0.01009   0.0079   0.0201   1.0000
   9.750   1.0328   0.01724   0.01072   0.0089   0.0183   1.0000
  10.000   1.0535   0.01780   0.01134   0.0098   0.0169   1.0000
  10.250   1.0739   0.01837   0.01197   0.0108   0.0157   1.0000
  10.500   1.0932   0.01903   0.01266   0.0119   0.0146   1.0000
  10.750   1.1103   0.01983   0.01351   0.0131   0.0135   1.0000
  11.000   1.1288   0.02047   0.01422   0.0143   0.0130   1.0000
  11.250   1.1460   0.02117   0.01502   0.0155   0.0123   1.0000
  11.500   1.1617   0.02193   0.01585   0.0169   0.0115   1.0000
  11.750   1.1754   0.02278   0.01676   0.0184   0.0109   1.0000
  12.000   1.1842   0.02383   0.01786   0.0205   0.0102   1.0000
  12.250   1.1913   0.02472   0.01884   0.0229   0.0099   1.0000
  12.500   1.1966   0.02577   0.01998   0.0252   0.0096   1.0000
  12.750   1.2024   0.02692   0.02122   0.0270   0.0090   1.0000
  13.000   1.2050   0.02846   0.02286   0.0283   0.0088   1.0000
  13.250   1.2078   0.03023   0.02473   0.0290   0.0085   1.0000
  13.500   1.2092   0.03238   0.02698   0.0292   0.0082   1.0000
  13.750   1.2089   0.03497   0.02967   0.0288   0.0079   1.0000
  14.000   1.2066   0.03803   0.03283   0.0279   0.0077   1.0000
  14.250   1.2024   0.04151   0.03643   0.0266   0.0076   1.0000
  14.500   1.1942   0.04568   0.04072   0.0248   0.0074   1.0000
  14.750   1.1845   0.05022   0.04537   0.0227   0.0073   1.0000
  15.000   1.1767   0.05458   0.04985   0.0208   0.0072   1.0000
  15.250   1.1675   0.05924   0.05463   0.0186   0.0071   1.0000
  15.500   1.1552   0.06443   0.05995   0.0161   0.0070   1.0000
  15.750   1.1419   0.06989   0.06552   0.0135   0.0070   1.0000
  16.000   1.1295   0.07534   0.07108   0.0108   0.0069   1.0000
  16.250   1.1159   0.08125   0.07711   0.0078   0.0069   1.0000
  16.500   1.1045   0.08697   0.08294   0.0048   0.0068   1.0000
  16.750   1.0900   0.09336   0.08944   0.0015   0.0069   1.0000
